status,propertyType,baths,fireplace,city,schools,sqft,zipcode,beds,state,stories,target
77,1129,3.0,98,818,157543,3237.0,3977,4.0,36,2.0,1625000.0
4,632,2.5,1408,1180,89915,5840.0,1510,3.0,7,2.0,1600000.0
125,1240,2.0,1535,70,172935,1050.0,1056,2.0,9,1.0,285000.0
4,1129,4.5,7,985,226089,4448.0,3983,5.0,36,2.0,2674980.0
125,1245,2.0,1592,1403,5878,1805.0,2830,3.0,32,1.0,165000.0
125,1240,3.0,1535,990,17644,1756.0,1324,2.0,7,2.0,1590000.0
125,1241,2.5,1535,102,230661,373772.0,216,3.0,24,1.0,239000.0
4,1129,4.5,29,616,207750,4135.0,3230,5.0,1,2.0,479900.0
125,1243,2.0,1535,865,10220,1152.0,3263,4.0,23,1.0,150000.0
124,399,4.0,1535,990,14964,2502.0,1322,3.0,7,2.0,1999999.0
125,1240,2.5,1535,1395,230274,715.0,1453,2.0,7,2.0,279000.0
4,1228,2.5,1535,353,13607,616.0,1324,3.0,7,2.0,205000.0
125,1246,3.0,1592,291,9928,1544.0,2310,2.0,11,2.0,425000.0
66,601,1.0,1535,193,212081,865.0,178,1.0,24,1.0,460000.0
4,1228,2.5,1535,278,149544,2050.0,1000,3.0,21,2.0,323000.0
124,1228,5.0,1535,1165,175282,4041.0,1273,5.0,7,2.0,632995.0
4,469,3.5,1535,1693,177360,2042.0,489,4.0,5,2.0,799950.0
4,1228,2.5,1535,893,126944,1612.0,3213,3.0,1,2.0,239900.0
4,1228,2.5,1535,548,52913,1544.0,1385,3.0,7,2.0,485500.0
73,1128,7.0,1591,139,228231,6979.0,543,7.0,15,3.0,1995000.0
125,1240,3.0,1592,1591,45867,1216.0,1191,2.0,7,2.0,75000.0
125,1245,2.5,1535,980,37241,1266.0,1725,3.0,31,2.0,64000.0
125,1245,6.0,1592,1696,194925,4433.0,1212,5.0,7,3.0,6449000.0
66,1128,4.0,1535,403,128864,2335.0,3066,3.0,4,3.0,975000.0
4,1189,2.5,1535,726,178711,1612.0,2697,3.0,32,2.0,149900.0
4,598,2.5,1535,726,145865,3004.0,2628,3.0,32,3.0,699000.0
73,1128,3.0,1535,1382,67561,1945.0,3884,4.0,3,2.0,423990.0
4,308,2.5,1408,927,223338,2921.0,1453,3.0,7,2.0,999000.0
4,1129,1.0,1535,1578,80867,1834.0,2234,3.0,35,2.0,209900.0
125,1245,9.0,1592,726,214069,6579.0,2649,5.0,32,2.0,3655275.0
4,1044,2.5,141,385,147218,3758.0,2486,3.0,32,2.0,769500.0
4,1129,1.0,1535,1072,26879,1012.0,2801,3.0,32,2.0,280000.0
125,1240,2.0,1592,291,8716,1600.0,2319,3.0,11,3.0,425000.0
4,863,2.5,1535,313,122589,0.0,1088,3.0,9,2.0,75000.0
4,1228,2.5,7,828,83180,894.0,3104,3.0,4,2.0,230000.0
76,1129,3.0,1535,313,52306,2296.0,2725,5.0,32,2.0,142500.0
125,1245,2.0,1592,1756,216418,2172.0,691,3.0,21,2.0,282615.0
125,1245,2.0,1592,548,192239,1691.0,1389,3.0,7,1.0,1350000.0
4,1189,2.5,1535,726,26277,1052.0,2715,3.0,32,2.0,45000.0
66,1128,3.0,1591,1405,235523,2888.0,3553,5.0,3,0.0,1159000.0
4,1129,2.0,911,1210,225594,2412.0,3226,3.0,1,1.0,729900.0
125,1245,4.0,1592,278,236544,3409.0,1006,4.0,21,2.0,585000.0
4,1129,3.0,7,1318,12529,2493.0,2747,4.0,32,1.0,368900.0
4,863,0.0,1535,1243,23496,0.0,1573,3.0,7,2.0,23000.0
125,1245,3.0,1592,437,7575,1772.0,930,4.0,21,2.0,384000.0
4,1228,2.5,1535,991,116482,614.0,1330,3.0,7,2.0,179000.0
124,1128,2.0,1449,1403,40891,1500.0,2823,3.0,32,1.0,415000.0
125,1240,5.0,1592,1187,142001,4287.0,1155,4.0,7,2.0,1499500.0
125,1245,4.0,1535,1252,190478,2658.0,1581,4.0,7,1.0,525000.0
125,1246,3.0,1535,306,196997,1403.0,1593,3.0,31,2.0,217360.0
125,1245,2.0,1535,881,96510,1918.0,1505,3.0,7,1.0,250000.0
4,1129,3.5,1184,709,178223,2955.0,1645,4.0,31,2.0,359000.0
125,1242,2.5,1535,197,72093,480.0,1558,3.0,7,2.0,495000.0
125,1245,2.5,1592,75,138735,2643.0,2946,3.0,32,2.0,310000.0
4,668,2.5,1535,990,116627,2237.0,1361,3.0,7,2.0,419900.0
125,1245,2.0,1592,1069,31534,3136.0,1633,3.0,31,1.0,257500.0
79,1129,1.0,1535,1026,224535,1171.0,3487,3.0,3,2.0,672500.0
79,956,3.0,1535,313,150228,2788.0,1842,5.0,25,3.0,164900.0
125,1245,3.0,1535,837,141494,2692.0,4109,5.0,36,2.0,474950.0
124,1128,2.0,1535,1444,113004,1460.0,4015,3.0,36,2.0,264474.0
4,1129,2.0,806,278,226294,1315.0,1006,3.0,21,1.0,289900.0
125,1244,3.0,1535,914,217100,1808.0,3346,3.0,3,2.0,1299000.0
66,399,4.0,1535,162,10639,3463.0,3,3.0,14,2.0,3995000.0
12,1129,3.0,1535,914,29289,1800.0,3365,3.0,3,2.0,750000.0
125,1242,2.5,1535,1187,135895,10000.0,1156,3.0,7,2.0,25000.0
66,1128,1.0,1535,405,58893,1304.0,2070,4.0,17,1.0,39900.0
66,399,1.0,1535,1306,140427,860.0,3298,2.0,23,1.0,164900.0
124,1128,3.0,1535,726,110936,2309.0,2706,4.0,32,2.0,194900.0
125,1241,2.5,1535,543,143292,71838.0,230,3.0,24,2.0,440000.0
